"Товар","Код/Изображение","Единица измерения","Цена","Изображение"
"Светодиод быстрого монтажа 0.8 Вт зеленый, Китай","","RUB","12",""
"Светодиодный модуль GLANZEN RPD-6500-24-14-MR,","","RUB","245",""
"Светодиодный модуль GLANZEN RPD-6500-28-22-MR,","","RUB","235",""
"Светодиодный модуль GLANZEN RPD-6500-36-18-MS,","","RUB","234",""
"Светодиодный модуль GLANZEN RPD-6500-36-19-MR,","","RUB","300",""
"Блоки питания 12 В,","","","",""
"Блок питания DC12 150W 12.5A ,","","RUB","665",""
"Блок питания DC12 200W 16.5A ,","","RUB","850",""
"Блок питания для с/д  ленты 12В  15Вт (200), LEEK","","RUB","200",""
"Блок питания для с/д  ленты 12В  25Вт (100), LEEK","","RUB","260",""
"Блок питания для с/д  ленты 12В  60Вт (120), LEEK","","RUB","374",""
"Блок питания для с/д  ленты 12В 100Вт (40),","","RUB","565",""